Comment,Human_Label
seeing company lay essential worker recently save money causing company fail rapidly idiot management want crash ship nothing get crash,Negative
ubi never happening one job one money one consume everything collapse along balance without balance revolt anarchy one reason anyway answer odd job whatever required plenty job career hand different story,Negative
part agree helpful good communicator knowledge business economics quite sure philosophy fit personally enjoy learning well,Positive
ever heard rokos basilisk,Neutral
taking many job tech guru would like believe,Neutral
totally sue irs issue tax preparer worry much,Negative
interested agree one egregious one along childcare child wife elder adult life need support,Neutral
fun story previous company whole corporate excitement push group people volunteered spent insane volume time learning developing scaling tool taught use company took tool laid every single one including people led charge,Positive
imagine problem outsourcing labour usually tends lower quality else would point also assuming either capable human task currently make sense lay entire staff currently example company appearing write article chatgpt sure happening already honesty going compete right market share different issue cost cutting eye article making money regardless wrote,Neutral
saying speculative whole may plateau spectulative may may could also plateau exponential growth buddy work development designed replace job certain job replaced year might right might wrong people said level thing would happen year ago last week uploaded first fly brain neuronal connection digital space rather tell people prepared taking job inevitable maybe year year likely year extremely likely year guaranteed simply byproduct human ingenuity technological development,Neutral
yes yes directly entire arguement based anti captialism one school thought derivative anti capitalist even word capitalist coined founder,Neutral
job bummer job phased higher pay scale much knock effect broader economy maker end becoming taker trickle might happen money rolling hill much shit roll hill,Negative
see example large successful coop,Neutral
prompted extract training executive panel could highlight hiring someone high proficiency needed higher salary applicant lower level competency range specific skillset need people word speaker note work space time write custom response every person snarky still think worth highlighting people realize vast range competency dropping commenter would benefit people might well going spend time retooling explanation already done random person internet google want rephrased ask,Neutral
ubi enough people loot riot poverty ubi like social security pay little many retiree get like per month,Negative
think concerned planned useless herd humanity think cull using human war cover story get rid fighting age human rest die naturally famine lack health care anarchical violence anyone thinking live peaceful happy artisan lifestyle ubi filled abundance smoking hopium pipe,Negative
way forward socialist egalitarian revolution way screw majority human population,Negative
product fear real taking strategic shift right stepping back leadership deep engineering want use want understand control stack temporary pause long term gain,Neutral
whatever want money get money job,Neutral
business accounting first job job rule based heavily reliant deterministic outcome applied math first look account receivable account payable optimize business micro level executive function like market planning still away feedback strategy impact captured accounting metric small,Neutral
fucking dark company nowhere started huge push towards using anywhere everywhere possible got bad feeling end,Negative
see would rather talk therapist talk waay personal shit would human therapist,Negative
yeah point maybe part overpopulation problem feel like course capitalism work population like people globally merit helping fellow man general kind human,Negative
dark dystopic future already people disabled earn living really think phrase,Negative
yeah probably right,Neutral
get good take everyone job point worrying point everything change yeah exactly outcome everything changing probably concern everyone one possible change people get unalived,Neutral
recently team match call hiring manager google talked could help least specific project told already investigated pretty much impossible get really advanced meaning take lot year mind person staffed since google rather take word peer probably clueless disrespect actually happening,Negative
tech deflationary though aws gotten cheaper lately product like office uber adobe suite product example saas offering got cheaper inevitably shifted growth revenue model seems likely smaller competitor get acquired larger one time look offset economic damage done increasing tax even local level water energy thing fewer competitor result higher price right competing establish market share rat race end foresee increase probably higher tax regulation,Negative
agree also think people sink poverty cannot find work capitalist struggle sell product also need consumer make money consumer class start significantly shrink could see focusing market better safety net sell good though become even polarized extreme wealthy everyone else,Negative
anxiety year happened many year anxiety well happened yet,Negative
unnecessary understood everyone else,Neutral
technology caused permanent mass unemployment none ever job disappear freeing people job new job invented even conceived today million open unfilled position million adult even looking work learn two thing true time avoid becoming part unemployable class learning learn whole life long embrace may take job someone using might,Neutral
deduce fact see driving around cause necessarily technological deducing year research done autonomous system phd,Neutral
people said thing automation outsourcing certain area tech right,Negative
deduce fact see driving around cause necessarily technological believe possible saw car drive autonomously year ago side anecdote sole source belief year ago went tesla dealership near asked demo drive car driving around staff told car perfectly capable local legislation allow autonomous drive capability switched lane centering tailing distance still available said buy car legislation changed full capability enabled remotely via code,Neutral
die struggle subsistence level existence outside walled city wealthy,Negative
nope true really marketing hype honestly engineer day hype gotten hand truth great assistive tool going replace people industrial scale mentioned,Positive
predicting stuff like dotcom boom bust people could predict thing majority investor would gotten money cant predict stuff like even financial institution team phd economist got wrong lot people lost lot money including people expert space also way predict whether get intelligent certainly could stop improving hand somebody somewhere could find next breakthrough asked machine learning community nobody saw transformer based model next big thing mention even hardware space breakthrough could happen would decrease cost maybe right stuck also good possibility let see happens like said nobody crystal ball,Neutral
would think people pay income contributing,Neutral
wake every single morning thinking new way complete utter asshole mean possibly take away least got hold dude legit intolerable reason,Neutral
people retrain new opportunity develop happened industrial revolution suddenly cheap cloth manufactured shoe etc powered equipment came construction think hydraulics need men dig ditch notice score idle ditch digger standing around used take whole gang men pour curb curb crew curb machine people survey crew three people one guy satellite hookup hoard unemployed surveyor shortage computer arrived whole floor administration building vacant time shock people involved opportunity developed see coming start looking opportunity,Negative
people already asking program use game devs show work,Negative
rather agi ever come think creativity ingenuity still offer lifeline mean creativity sense art though would also apply ability think outside box apply new technique etc llm iterating already known seen far rare discovery thing human field gotten yet borrow another productivity booster slop hallucination cause around incentive need change confidence correctness improve accuracy seem materializing yet,Positive
question rephrase people posted clip game people like wow amazing long take learn blende unity say cool generation bro everyone think content us way dismiss creativity hard work year learning kid ask tool using cool man,Negative
cope model gold medal international mathematical olympiad year programming fundamentally harder imo say programming far far easier less creative solving imo problem cost using roughly every six month like exact opposite description,Neutral
honestly accounting one logical obvious space eaten highly structured data purely defined input output obvious space disruption come mind,Neutral
yes nobody would paying premium model even give benefit doubt mean end improvement take one breakthrough idea much money poured field globally safely assume get much better,Negative
homeless starve death die easily curable disease,Negative
lose going lose regardless matter,Negative
welcome last century human history amazing specie,Positive
already replaced lot entry level job job loss actually form permanently reduced headcount rather layoff firing continue replace entry mid level white collar job plateau instead senior manager integrated daily function role,Negative
